% email: 100 10 T1 0.4 and the second one varies by key. THE ACTUAL T1
% NOTE: I BELIEVE THAT THIS IS 0.2 DATA, not 0.4, due to email sent before this
% T1 ; p=0.2
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	11	15.727273	3.629901	49.000000	0.000000
0.05	11	15.727273	3.629901	0.000000	0.000000
0.1	11	15.727273	3.629901	0.000000	0.000000
0.15	11	15.727273	3.629901	0.000000	0.000000
0.2	11	15.727273	3.629901	0.000000	0.000000
0.25	11	15.727273	3.629901	0.000000	0.000000
0.3	11	15.727273	3.629901	0.545455	0.908145
0.35	11	15.727273	3.629901	5.163636	4.987238
0.4	11	15.727273	3.629901	17.727273	5.666761
0.45	11	15.727273	3.629901	18.990909	5.544809
0.5	11	15.727273	3.629901	18.236364	3.480596
