% email: 100 10 T1 with first probability 0.4 the others vary as follows
% T1 ; p=0.2
% NOTE BROKEN STDEV-NEW RESULTS (Output issue). DISREGARD!
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	15	0.000000	0.000000	49.000000	0.000000
0.05	15	0.000000	0.000000	0.0000000	0.000000
0.1	15	0.000000	0.000000	0.0000000	0.000000
0.15	15	0.000000	0.000000	0.0000000	0.000000
0.2	15	0.000000	0.000000	0.0000000	0.000000
0.25	15	0.000000	0.000000	0.0266670	0.103280
0.3	15	0.000000	0.000000	0.3600000	0.551362
0.35	15	0.000000	0.000000	4.2066673	0.308100
0.4	15	0.000000	0.000000	17.273333	5.342079
0.45	15	0.000000	0.000000	19.546667	5.791850
