% Data for T2, varying the standard deviation (called 'key') and measuring the basin of attraction
% n = 50 ; cluster size is 5
% dist/build/experiment/experiment cluster 2 T2 50 5 10.0 0.0 20.0 0.5 10 +RTS -N8
key	n	mean	stddev
0.0	10	12.060000	1.159693
0.5	10	8.290000	2.694212
1.0	20	4.025000	2.125503
1.5	10	4.430000	1.964151
2.0	10	3.990000	2.709838
2.5	10	3.720000	1.917058
3.0	10	5.060000	2.784561
3.5	10	4.030000	2.009450
4.0	10	4.740000	2.392210
4.5	10	4.040000	2.354287
5.0	10	4.450000	2.551797
5.5	10	3.340000	2.877576
6.0	10	3.910000	2.001361
6.5	10	2.960000	2.303234
7.0	10	3.440000	1.685362
7.5	10	2.610000	1.546645
8.0	20	3.305000	1.604098
8.5	10	2.110000	1.432519
9.0	10	3.160000	1.784626
9.5	10	1.690000	1.272312
10.0	20	3.330000	1.883753
10.5	20	2.290000	1.309439
11.5	10	2.860000	1.111755
12.0	10	2.730000	1.132402
12.5	10	2.770000	1.082230
13.0	10	2.500000	0.812404
13.5	10	2.440000	0.970910
14.0	10	2.520000	0.979569
14.5	10	2.500000	1.222020
15.0	10	2.440000	1.220382
15.5	10	2.670000	1.378445
16.0	10	2.780000	1.603330
16.5	10	2.860000	1.413585
17.0	10	2.750000	1.516758
17.5	10	3.260000	1.415156
18.5	10	3.440000	1.743050
19.0	10	3.430000	1.837903
19.5	10	3.280000	2.294341
20.0	10	3.110000	2.299493
