% email: Experiments to plot: one cluster 100 10
% T2 ; n = 100 ; ONE cluster of size 10
% with std dev given by the key.
key	n	mean	stddev
0.0	10	49.000000	0.000000
1.0	11	18.536364	5.357102
2.0	21	14.242857	4.230670
3.0	22	9.454545	3.853598
4.0	11	9.054545	5.480395
5.0	22	6.890909	5.128530
6.0	11	6.436364	3.588669
7.0	22	7.190909	4.731547
8.0	11	4.554545	3.448873
9.0	22	6.554545	3.434936
10.0	11	5.981818	2.843877
11.0	22	6.327273	2.847586
12.0	11	6.163636	2.573819
12.5	10	7.740000	3.450668
13.0	22	5.700000	2.330338
14.0	11	5.672727	2.736820
