% email: 100 10 with first p being 0.2 and the rest as we see. Ofc it is T1 with 2 clusters
% T2 ; n = 100 ; TWO cluster of size 10
% stddev of cluster 1 is 0.2
% with std dev of second cluster given by the key.
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	21	48.766667	1.069268	49.000000	0.000000
0.05	21	48.766667	1.069268	49.000000	0.000000
0.1	21	48.766667	1.069268	49.000000	0.000000
0.15	21	48.766667	1.069268	49.000000	0.000000
0.2	21	48.766667	1.069268	48.533333	1.473884
0.25	21	48.766667	1.069268	46.666667	2.947768
0.3	21	48.766667	1.069268	44.333333	3.626063
0.35	21	48.766667	1.069268	42.233333	5.015310
0.4	21	48.766667	1.069268	39.666667	5.346338
0.45	21	48.766667	1.069268	37.333333	5.249222
0.5	21	48.766667	1.069268	35.228571	5.727752
