% email: 2 clusters 100 10 first mean 5.0 second mean from 0 to 20. Method T2.
% T2 ; n = 100 ; TWO cluster of size 10
% stddev of first cluster is 10
% with std dev of second cluster given by the key.
% AVG basin size, basin size origin, basin size new
 key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	14	7.357143	2.889427	49.000000	0.000000
1.0	14	7.357143	2.889427	21.500000	6.018178
2.0	14	7.357143	2.889427	13.778571	4.576054
3.0	14	7.357143	2.889427	12.342857	4.087827
4.0	14	7.357143	2.889427	10.628571	2.778884
5.0	14	7.357143	2.889427	8.321429	4.158805
6.0	14	7.357143	2.889427	7.485714	3.896716
7.0	14	7.357143	2.889427	7.042857	3.590739
8.0	14	7.357143	2.889427	6.671429	3.112117
9.0	14	7.357143	2.889427	6.042857	3.348183
10.0	35	7.517143	3.915992	6.342857	3.484950
11.0	21	7.623810	4.540144	5.795238	4.083929
12.0	21	7.623810	4.540144	5.533333	3.126393
13.0	21	7.623810	4.540144	5.728571	3.868222
14.0	21	7.623810	4.540144	5.090476	2.580485
15.0	21	7.623810	4.540144	5.671429	2.949939
16.0	21	7.623810	4.540144	5.719048	3.020202
17.0	21	7.623810	4.540144	5.071429	1.746180
18.0	21	7.623810	4.540144	5.590476	2.847614
19.0	21	7.623810	4.540144	5.285714	2.127272
20.0	21	7.623810	4.540144	5.628571	2.343959
