% email: Storkey results
% Storkey - T1 two clusters, 100 10
% p = 0.2
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	33	13.396970	2.412660	49.000000	0.000000
0.05	33	13.396970	2.412660	4.372727	0.510069
0.1	33	13.396970	2.412660	4.624242	1.479660
0.15	33	13.396970	2.412660	7.415152	2.203849
0.2	33	13.396970	2.412660	13.266667	2.592738
0.25	33	13.396970	2.412660	21.336364	2.076779
0.3	33	13.396970	2.412660	27.112121	1.127430
0.35	33	13.396970	2.412660	28.993939	0.487942
0.4	33	13.396970	2.412660	29.660606	0.327814
0.45	33	13.396970	2.412660	29.809091	0.366029
0.5	33	13.396970	2.412660	29.930303	0.325466
