% email: Results for one cluster
% T2 ; probably 100 neurons
key	n	mean	stddev
0.0	63	49.000000	0.000000
1.0	63	17.188889	2.469368
2.0	63	12.060317	2.519763
3.0	63	9.246032	0.251976
4.0	63	9.119048	1.965415
5.0	63	9.930159	1.259882
6.0	63	10.184127	1.007905
7.0	63	10.890476	0.604743
8.0	63	11.428571	1.360672
9.0	63	11.530159	1.259882
10.0	63	12.536508	0.856719
11.0	63	12.779365	1.310277
12.0	63	13.926984	1.461463
13.0	63	10.657143	0.453557
14.0	63	13.779365	1.310277
15.0	63	14.280952	1.209486
16.0	63	11.749206	3.225297
17.0	63	14.374603	1.612648
18.0	63	14.296825	0.201581
19.0	63	14.295238	0.302372
20.0	63	13.653968	0.251976
