% email: Storkey results
% Storkey - T2 two clusters, 100 10
% stddev = 10
key	n	mean-origin	stddev-origin	mean-new	stddev-new
0.0	32	8.356250	3.570483	49.000000	0.000000
1.0	32	8.356250	3.570483	17.756250	8.952092
2.0	32	8.356250	3.570483	10.756250	4.971138
3.0	32	8.356250	3.570483	8.100000	4.047620
4.0	32	8.356250	3.570483	7.468750	4.613405
5.0	32	8.356250	3.570483	6.256250	2.618783
6.0	32	8.356250	3.570483	6.009375	2.283512
7.0	32	8.356250	3.570483	6.040625	2.482176
8.0	32	8.356250	3.570483	6.200000	2.163927
9.0	32	8.356250	3.570483	6.790625	2.268346
10.0	32	8.356250	3.570483	7.062500	2.813877
11.0	32	8.356250	3.570483	7.434375	2.654711
12.0	32	8.356250	3.570483	7.693750	2.908268
13.0	32	8.356250	3.570483	7.978125	2.530553
14.0	32	8.356250	3.570483	8.228125	2.403792
15.0	32	8.356250	3.570483	9.190625	2.736770
16.0	32	8.356250	3.570483	9.303125	2.665367
17.0	32	8.356250	3.570483	9.625000	2.553934
18.0	32	8.356250	3.570483	9.221875	2.345584
19.0	32	8.356250	3.570483	9.550000	2.115991
20.0	32	8.356250	3.570483	10.084375	2.754716
