% Data for two super attractors, varying the degree and measuring the basin of attraction
% found in wa910/output-super
% n = 100 ; two super attractors plus 8 random patterns ; includes non-fixed-points
% degree of origin is fixed at 8
key	n	mean-origin	stddev-origin	mean-new	stddev-new
1	636	47.985849	0.118206	0.000000	0.000000
2	636	47.880503	0.334189	0.185535	0.968892
4	634	46.627760	0.595071	9.195584	8.524266
8	634	41.085174	1.052643	38.168770	1.798253
10	864	37.094907	2.088488	41.915509	0.842685
13	864	28.158565	6.316239	44.442130	0.666276
16	634	16.709779	10.100960	45.839117	0.662216
20	864	7.403935	8.499065	46.861111	0.581018
25	864	2.642361	5.566462	47.560185	0.505898
27	864	1.965278	4.557977	47.792824	0.408365
32	633	0.780411	2.439936	47.995261	0.153986
